Sample,Index,Experiment,Medium,Substrate,Replicate,ReadsSum
,1,GM17_Mix,MOPS,Glucose,a,80054
,2,GM17_Mix,MOPS,Glucose,b,467985
,3,GM17_Mix,MOPS,Glucose,c,375042
,4,GM17_OV744,MOPS,Glucose,a,595200
,5,GM17_OV744,MOPS,Glucose,b,94167
,6,GM17_OV744,MOPS,Glucose,c,379789
,7,GM17_Mix,MOPS,SA,a,445340
,8,GM17_Mix,MOPS,SA,b,480337
,9,GM17_Mix,MOPS,SA,c,14129
,10,GM17_OV744,MOPS,SA,a,494992
,11,GM17_OV744,MOPS,SA,b,452191
,12,GM17_OV744,MOPS,SA,c,524033
,13,GM17_Mix,MPS,Salicin,a,195552
,14,GM17_Mix,MPS,Salicin,b,651387
,15,GM17_Mix,MPS,Salicin,c,219105
,16,GM17_OV744,MPS,Salicin,a,417227
,17,GM17_OV744,MPS,Salicin,b,201013
,18,GM17_OV744,MPS,Salicin,c,316893
,19,GM17_Mix,Inoc,Inoc,a,482157
,20,All_3_Mix,Inoc,Inoc,a,318707
